Title,Type1,Volum,Location,Date_mfg,NameHost,Track,When,Who,Mail,Status,DetailStatus,Note,Modified,Modified By
40G11FEX6201,BF2000,15 ปอนด์,ป้อมรักษาการณ์ประตู ต.1,1/1/2017,สภต.,TRUE,8/23/2024 11:35 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:46,Amnuay Tongmit (อำนวย ต้องมิตร)
40G11FEX6902,Dry che,15 ปอนด์,ป้อมรักษาการณ์ประตู ต.1,1/1/2026,สภต.,TRUE,8/23/2024 11:37 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:48,Amnuay Tongmit (อำนวย ต้องมิตร)
40G21FEX6201,Dry che,15 ปอนด์,โป้อมรักษาการณ์ประตู ต.2,1/1/2022,สภต.,TRUE,8/23/2024 11:36 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:51,Amnuay Tongmit (อำนวย ต้องมิตร)
40G21FEX6202,BF2000,10 ปอนด์,ป้อมรักษาการณ์ประตู ต.2,1/1/2022,สภต.,TRUE,8/25/2024 5:57 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:52,Amnuay Tongmit (อำนวย ต้องมิตร)
40AA1FEX6201,Dry che,15 ปอนด์,หน้าห้องเก็บวัสดุ (ห้อง Generator เก่า),1/1/2017,สภต.,TRUE,8/25/2024 5:56 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:54,Amnuay Tongmit (อำนวย ต้องมิตร)
40AA1FEX6902,BF2000,15 ปอนด์,หน้าห้องเก็บวัสดุ (ห้อง Generator เก่า),1/1/2026,สภต.,TRUE,8/23/2024 11:22 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:55,Amnuay Tongmit (อำนวย ต้องมิตร)
40AA1FEX6903,Dry che,15 ปอนด์,หน้าห้องเก็บวัสดุ (ห้อง Generator เก่า),1/1/2026,สภต.,TRUE,8/23/2024 11:41 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:56,Amnuay Tongmit (อำนวย ต้องมิตร)
40AA1FEX6204,Dry che,15 ปอนด์,หลังห้องเก็บวัสดุ ข้างเครื่องปั๊มน้ำ สภต.,1/1/2025,สภต.,TRUE,8/25/2024 6:02 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:58,Amnuay Tongmit (อำนวย ต้องมิตร)
40AA1FEX6205,Dry che,15 ปอนด์,บ้านพักเรือนแถว ที่พักคนสวน,1/1/2017,สภต.,TRUE,8/23/2024 11:40 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 7:59,Amnuay Tongmit (อำนวย ต้องมิตร)
40AA1FEX6806,Dry che,15 ปอนด์,บ้านพักเรือนแถว หน้าห้องเก็บพัสดุ,1/1/2025,สภต.,TRUE,8/23/2024 11:39 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:01,Amnuay Tongmit (อำนวย ต้องมิตร)
40HF1FEX6001,BF2000,10 ปอนด์,บ้านพักรับรอง สภต. 1,1/1/2017,สภต.,TRUE,8/23/2024 11:39 AM,วิสายัญ จันทร์คง,WisayanC@bot.or.th,ปกติ,,,8/6/2026 8:01,Amnuay Tongmit (อำนวย ต้องมิตร)
