"Title","TypeBullet","Date_Recive","Volum","Team","Detail"
"30256238","กระสุนปืนขนาด .38Spec","12/17/2019","240","สภอ./ศขก.",
"30256212","กระสุนปืนลูกซองเบอร์ 12","12/17/2019","64","สภอ./ศขก.",
"22256238","กระสุนปืนขนาด .38Spec","11/20/2019","0","สภน./ศชม.","กระสุนหัวทองแดง
18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2567  จำนวน 6 นัด คงเหลือ 90 นัด
2 ส.ค.68 จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2568  จำนวน 90 นัด คงเหลือ 0 นัด"
"22256212","กระสุนปืนลูกซองเบอร์ 12","11/20/2019","20","สภน./ศชม.","18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC"
"40254738","กระสุนปืนขนาด .38Spec","4/12/2022","168","สภต./ศหญ.","กระสุนหัวทองแดง
"
"40256238","กระสุนปืนขนาด .38Spec","4/12/2022","236","สภต./ศหญ.","กระสุนหัวตะกั่ว"
"22255438","กระสุนปืนขนาด .38Spec","6/9/2011","0","สภน./ศชม.","จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2564  จำนวน 40 นัด คงเหลือ 60 นัด
18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2567  จำนวน 60 นัด คงเหลือ 0 นัด"
"22256112","กระสุนปืนลูกซองเบอร์ 12","9/17/2018","19","สภน./ศชม.","จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2564  จำนวน 26 นัด คงเหลือ 19 นัด
18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC"
"40256212","กระสุนปืนลูกซองเบอร์ 12","8/1/2019","56","สภต./ศหญ.","สภต. 20 นัด รับโอนมาจาก ศสร. 36 นัด รวมทั้งหมด 56 นัด (ตามอัตราที่กำหนด 1 กระบอก/กระสุน 25 นัด สภต. จึงต้องมี 75 นัด ยังขาด 19 นัด)"
"42256212","กระสุนปืนลูกซองเบอร์ 12","1/1/2019","20","สภต./ศหญ.",
"42255812","กระสุนปืนลูกซองเบอร์ 12","4/23/2015","16","สภต./ศหญ.","นำไปฝึกในหลักสูตร""การทบทวนการใช้อาวุธและความปลอดภัยในการใช้อาวุธ ประจำปี 2564 จำนวน 24 นัด จาก40นัด คงเหลือ16 นัด"
"42255838","กระสุนปืนขนาด .38Spec","4/23/2015","49","สภต./ศหญ.","นำไปฝึกในหลักสูตร""การทบทวนการใช้อาวุธและความปลอดภัยในการใช้อาวุธ ประจำปี 2564 จำนวน 40 นัด จาก89นัด คงเหลือ49 นัด"
"42256238","กระสุนปืนขนาด .38Spec","4/1/2019","96","สภต./ศหญ.",
"20256212","กระสุนปืนลูกซองเบอร์ 12","11/20/2019","20","สภน./ศชม.",
"20255038","กระสุนปืนขนาด .38Spec","1/1/2007","0","สภน./ศชม.","จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2567  จำนวน 184 นัด คงเหลือ 0 นัด"
"20256238","กระสุนปืนขนาด .38Spec","11/20/2019","0","สภน./ศชม.","2 ส.ค.68 จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2568  จำนวน 168 นัด คงเหลือ 0 นัด"
"50256238","กระสุนปืนขนาด .38Spec","11/1/2019","504","ทอศ.",
"50255038","กระสุนปืนขนาด .38Spec","11/1/2019","245","ทอศ.",
"50255012","กระสุนปืนลูกซองเบอร์ 12","11/1/2023","23","ทอศ.",
"50256212","กระสุนปืนลูกซองเบอร์ 12","1/11/2019","37","ทอศ.",
"ไม่ทราบ","กระสุนปืนขนาด .38Spec","6/27/2023","348","ทญศ.","ข้อมูลปรับใหม่--27/6/2023--เป็นกระสุนจริงสภาพใหม่ จำนวน 348 นัด เก็บที่ บก.ขุนพรหม (ผู้ปรับใหม่ มาโนชญ์ฯ)
ข้อมูลเก่า--12/31/2001--เป็นกระสุนจริงสภาพใหม่ 722 นัด (กระสุนจริงใหม่ รับเมื่อ 12 ก.พ 2563 จำนวน 450 นัด กระสุนใหม่ที่มีอยู่เดิม 198 นัด)) กระสุนจริงสภาพเก่า 252 นัด(ผ ้บันทึกข้อมูลเก่า เร๊ามันฯ)"
"ไม่ทราบ","กระสุนยาง .38Spec",,"130","ทญศ.","เก็บที่ตู้เหล็ก 2 บานเปิด บก.ขุนพรหม"
"ไม่ทราบ","กระสุนปืนลูกซองเบอร์ 12","6/27/2023","166","ทญศ.","ข้อมูลปรับใหม่--วันที่ 27/6/2023 จำนวน 197 นัด เป็นกระสุนสภาพใหม่ทั้งหมด--เก็บที่ บก.ขุนพรหม 166 นัด / เก็บที่ห้อง หชป. 31 นัด (ผู้ปรับใหม่ มาโนชญ์ฯ)
ข้อมูลเก่า--วันที่ 12/31/2001 จำนวน 210 นัด--เป็นกระสุนจริงสภาพใหม่ 140 นัด (กระสุนใหม่ที่รับมาเมื่อวันที่ 12 ก.พ. 2563 จำนวน 25 นัด ,กระสุนจริงใหม่ที่มีอยู่เดิม 45 นัด) กระสุนจริงเก่า 70 นัด (ผู้บันทึกข้อมูลเก่า เร๊ามันฯ)"
"ไม่ทราบ","กระสุนยางลูกซองเบอร์ 12",,"100","ทญศ.","เก็บที่ตู้เหล็ก 2 บานเปิด บก.ขุนพรหม"
"51255312","กระสุนปืนลูกซองเบอร์ 12","1/1/2010","60","ศอก.",
"20255012","กระสุนปืนลูกซองเบอร์ 12","10/1/2007","0","สภน./ศชม.","11 ก.ค.69--จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2569  จำนวน 51 นัด "
"32256509","กระสุนปืนขนาด 9mm","12/19/2022","120","ทอศ.","ได้รับมอบอาวุธปืนขนาด 9 มม. อูซี่ จำนวน 4 กระบอก กระสุน 120 นัด จาก งขส.ฝรภ.เมื่อวันที่ 19 ธันวาคม 2565"
"ไม่ทราบ","กระสุนปืนขนาด 9mm","6/19/2023","90","ทญศ.","จัดซื้อทดแทนของเก่าจำนวน 90 นัด ที่นำไปฝึกยิงปืนทบทวนประจำปีครั้งที่ 1 /66 (19 มิ.ย.66) สนามยิงปืนศูนย์ฝึกยุทธวิธีตำรวจกลาง กองบัญชาการศึกษา
 (เก็บที่ตู้เหล็ก 2 บานเปิด บก.ขุนพรหม)"
"30256509","กระสุนปืนขนาด 9mm","12/21/2022","60","สภอ./ศขก.","รับมอบจาก ทขส. วันที่ 21 ธ.ค.65 จำนวน 30 นัด, วันที่ 10 ต.ค.66 จำนวน 30 นัด"
"22256609","กระสุนปืนขนาด 9mm","2/22/2023","0","สภน./ศชม.","11 ก.ค.69--จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2569  จำนวน 30 นัด "
"40256609","กระสุนปืนขนาด 9mm","3/22/2023","30","สภต./ศหญ.","รับมอบมาจากสำนักงานใหญ่  พร้อมอาวุธปืนชขนาด 9 มม. จำนวน 1 กระบอก"
"50257238","กระสุนปืนขนาด .38Spec",,"459","ทอศ.","กระสุนเก่าคงคลัง"
"20256738","กระสุนปืนขนาด .38Spec","6/22/2024","0","สภน./ศชม.","11 ก.ค.69--จำหน่ายในการฝึก“การใช้อาวุธและยิงปืนทบทวน” ประจำปี 2569  จำนวน 250 นัด "
"20256738","กระสุนปืนขนาด .38Spec","7/11/2026","250","สภน./ศชม.","11 ก.ค.69--จัดซื้อกระสุนใหม่ทดแทนคงคลัง ที่ใช้ในการฝึกอบรม ประจำปี 2569--จำนวน 250 นัด 
"
"22256609","กระสุนปืนขนาด 9mm","7/11/2026","30","สภน./ศชม.","11 ก.ค.69--จัดซื้อกระสุนใหม่ทดแทนคงคลัง ที่ใช้ในการฝึกอบรม ประจำปี 2569--จำนวน 30 นัด "
"20255012","กระสุนปืนลูกซองเบอร์ 12","7/11/2026","50","สภน./ศชม.","11 ก.ค.69--จัดซื้อกระสุนใหม่ทดแทนคงคลัง ที่ใช้ในการฝึกอบรม ประจำปี 2569--จำนวน 50 นัด "
