Title,Detail,Location,NameHost,Track
40BSOFHC1002,"สายดับเพลิง 1 ม้วน
หัวฉีด 1 อัน
หัวจ่ายน้ำ  1​ หัว

",ภายในศูนย์จัดการธนบัตร​ หน้าห้อง ผจศ.(ศหญ.เดิม,สภต./ศหญ.,TRUE
40BSOFHC1001,"สายดับเพลิง 1 ม้วน
หัวฉีด 1 อัน
แชลง 1 อัน
ขวาน​  1​ ด้าม
หัวจ่ายน้ำ 1​ หัว",ภายในอาคาร​ หน้าห้อง​ ผอ.,สภต./ศหญ.,TRUE
40BSOFHC2001,"สายดับเพลิง 1 ม้วน
หัวฉีด 1 อัน
แชลง​  1​ อัน
ขวาม​  1​ ด้าม
หัวจ่ายน้ำ​ 1​หัว",ภายในอาคาร​ หน้าห้องประชุมใหญ่​ ชั้น 2,สภต./ศหญ.,TRUE
40BSOFHC2002,"สายดับเพลิง 1 ม้วน
หัวฉีด 1 อัน
แชลง 1 อัน
ขวาน​  1​ ด้าม
หัวจ่ายน้ำ 1​ หัว",ภายในอาคาร​ หน้าห้องส่วนเศรษฐกิจภาค ชั้น 2 ,สภต./ศหญ.,TRUE
40BSOFHC1003,"เครื่องสูบน้ำเครื่องที่ 1 
สายดับเพลิง 2 ม้วน
ตะแกรง 1 อัน
งวงสูบน้ำ 2 เส้น(ชำรุด 1 เส้น)
หัวฉีด​ 3 หัว
ข้อต่อ​ 3​ ทาง​ 1 อัน
ไฟส่องสว่าง​ 1​ ดวง
ถังน้ำมัน​ 1 ถัง
ที่ขันข้อต่อ​ 1 อัน",ด้านข้างอาคารศูนย์จัดการธนบัตรหาดใหญ่(ศหญ.เดิม)​,สภต./ศหญ.,TRUE
40CONFHC1001,"เครื่องสูบน้ำเครื่องที่ 2
สายดับเพลิง 2 ม้วน
งวงสูบน้ำ 1 เส้น
หัวฉีด​ 1​ อัน",ใต้อาคารเฟื่องฟ้า​ หน้าห้องพนักงานขับรถ,สภต./ศหญ.,TRUE
40COBFHC1001,"สายดับเพลิง 1 ม้วน
หัวฉีด 1 อัน
",หลังอาคารผลิตไฟฟ้าสำรอง​ ข้างเครื่องปั้มน้ำ,สภต./ศหญ.,TRUE
40MECFC2001,"สายดับเพลิงชนิดสายเปียก​ 1​ ม้วน
สายดับเพลิงชนิดสายแห้ง​ 1​ ม้วน
หัวฉีด​ 1​ หัว
หัวจ่ายน้ำ 1​ หัว",ภายในอาคารช่าง ชั้น2,สภต./ศหญ.,TRUE
40MECFHC3001,"สายดับเพลิงชนิดสายเปียก​ 1​ ม้วน
สายดับเพลิงชนิดสายแห้ง​ 1​ ม้วน
หัวฉีด​ 1​ หัว
หัวจ่ายน้ำ 1​ หัว",ภายในอาคารช่าง ชั้น3,สภต./ศหญ.,TRUE
40CCBFHC1001,"สายดับเพลิง​ 1​ ม้วน
หัวฉีด​ 1​ อัน
หัวจ่ายน้ำ​  1​ หัว",อาคารสโมสรชั้น​ 1​ ,สภต./ศหญ.,TRUE
111,111,111,สภน./ศชม.,TRUE
222,222,222,สภน./ศชม.,TRUE
333,333,333,สภอ./ศขก.,FALSE
FHC-F1/1-A ,ถัง BF 2000 ขนาด 15 ปอนด์ จำนวน 1 ถัง ,อาคาร 1 ชั้น 1 โซน 1 ข้างลิฟท์ ตัวที่ 3-4 ,สนญ.,FALSE
22B01FHC1001,#NAME?,หน้าห้องพยาบาล,ศพล.,FALSE
22B01FHC1002,#NAME?,หน้าห้องทำลาย,ศพล.,FALSE
22B01FHC1003,#NAME?,หน้าห้องสันทนาการ,ศพล.,FALSE
22E01FEN1004,#NAME?,แนวรั้วประตู G5 (ภายนอก),ศพล.,FALSE
22E01FEN1005,#NAME?,แนวรั้วอาคาร B4 (ภายนอก),ศพล.,FALSE
22E01FEN1006,#NAME?,แนวรั้วประตู G6 (ภายนอก),ศพล.,FALSE
22E01FEN1007,#NAME?,แนวรั้วห้องควบคุม (ภายนอก),ศพล.,FALSE
41B01FHC1001,,ประตูเหล็กโถงหน้าห้องรับจ่าย,สภต./ศหญ.,FALSE
41B01FHC1002,,ทางเดินหน้าห้องทำลาย,สภต./ศหญ.,FALSE
41B01FHC1003,,ชานนถ่ายธนบัตร,สภต./ศหญ.,FALSE
41B01FHC2001,,ทางเดินหน้าห้องธุรการ,สภต./ศหญ.,FALSE
41B01FHC2002,,ทางเดินหน้าห้องพัดลม,สภต./ศหญ.,FALSE
41B01FH0001,,หน้าประตู​ G5,สภต./ศหญ.,FALSE
41B01FHC0002,,นอกอาคารข้างห้องอัดเศษ,สภต./ศหญ.,FALSE
41B01FHC0003,,หน้าประตู​ G6,สภต./ศหญ.,FALSE
41B01FHC0004,,ข้างอาคารเก็บน้ำดับเพลิง,สภต./ศหญ.,FALSE
