"Title","Asset_description","Lavel","Team","Cap_date","CostCenter","RegisterNo","Date_Begin","Date_Off","Comment","Link","LinkMail"
"30111665","เสื้อเกราะกันกระสุน","3","ศอก.","9/12/2016","48004","670503737","6/18/2024","6/24/2027","ได้จัดซื้ดทดแทนปี 2564 แล้ว ภาคใต้ทำหนังสือขอสนับสนุนส่งให้ ตร.EOD ปัจจุบันอยู่ระหว่าง ผอ.อนุมัติ","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492512",
"30111666","เสื้อเกราะกันกระสุน","3","ศอก.","9/12/2016","48004","670503737","6/18/2024","6/24/2027","ได้จัดซื้ดทดแทนปี 2564 แล้ว ภาคใต้ทำหนังสือขอสนับสนุนส่งให้ ตร.EOD ปัจจุบันอยู่ระหว่าง ผอ.อนุมัติ","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492512",
"30111662","เสื้อเกราะกันกระสุน","3","ศอก.","9/12/2016","48004","660508175","12/13/2023","12/18/2026","ได้จัดซื้ดทดแทนปี 2564 แล้ว ภาคใต้ทำหนังสือขอสนับสนุนส่งให้ ตร.EOD ปัจจุบันอยู่ระหว่าง ผอ.อนุมัติ
(ส่งคืน ฝรภ. เมื่อ 5 พ.ย. 64)","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9961297",
"30111663","เสื้อเกราะกันกระสุน","3","ศอก.","9/12/2016","48004","660508175","12/13/2023","12/18/2026","ได้จัดซื้ดทดแทนปี 2564 แล้ว ภาคใต้ทำหนังสือขอสนับสนุนส่งให้ ตร.EOD ปัจจุบันอยู่ระหว่าง ผอ.อนุมัติ
(ส่งคืน ฝรภ. เมื่อ 5 พ.ย. 64)","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9961297",
"30111664","เสื้อเกราะกันกระสุน","3","ศอก.","9/12/2016","48004","670503737","6/18/2024","6/24/2027","ได้จัดซื้ดทดแทนปี 2564 แล้ว ภาคใต้ทำหนังสือขอสนับสนุนส่งให้ ตร.EOD ปัจจุบันอยู่ระหว่าง ผอ.อนุมัติ","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492512",
"30133447","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133448","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133449","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133450","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112929",
"30133451","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133452","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133453","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112929",
"30133454","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133455","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133456","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133457","เสื้อเกราะกันกระสุนภายใน","2","ทขส.","11/4/2019","48004","660507302","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960848",
"30133458","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","660507299","12/4/2023","11/28/2026",,"https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492879",
"30133459","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","660507299","12/4/2023","11/28/2026",,"https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492879",
"30133460","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","660507299","12/4/2023","11/28/2026",,"https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492879",
"30133461","เสื้อเกราะกันกระสุนภายนอก","2","ทอศ.","11/4/2019","48004","660507300","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960850",
"30133462","เสื้อเกราะกันกระสุนภายนอก","2","ทอศ.","11/4/2019","48004","660507300","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960850",
"30133463","เสื้อเกราะกันกระสุนภายนอก","2","ทอศ.","11/4/2019","48004","660507300","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960850",
"30133464","เสื้อเกราะกันกระสุนภายนอก","2","ทอศ.","11/4/2019","48004","660507300","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960850",
"30133465","เสื้อเกราะกันกระสุนภายนอก","2","ทอศ.","11/4/2019","48004","660507300","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960850",
"30133466","เสื้อเกราะกันกระสุนภายนอก","2","สภน./ศชม.","11/4/2019","48004","660507315","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960846",
"30133467","เสื้อเกราะกันกระสุนภายนอก","2","สภน./ศชม.","11/4/2019","48004","660507315","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960846",
"30133468","เสื้อเกราะกันกระสุนภายนอก","2","สภน./ศชม.","11/4/2019","48004","660507315","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960846",
"30133469","เสื้อเกราะกันกระสุนภายนอก","2","สภอ./ศขก.","11/4/2019","48004","660507307","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960845",
"30133470","เสื้อเกราะกันกระสุนภายนอก","2","สภอ./ศขก.","11/4/2019","48004","660507307","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960845",
"30133471","เสื้อเกราะกันกระสุนภายนอก","2","สภอ./ศขก.","11/4/2019","48004","660507307","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960845",
"30133472","เสื้อเกราะกันกระสุนภายนอก","2","สภต./ศหญ.","11/4/2019","48004","660507317","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960851",
"30133473","เสื้อเกราะกันกระสุนภายนอก","2","สภต./ศหญ.","11/4/2019","48004","660507317","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960851",
"30133474","เสื้อเกราะกันกระสุนภายนอก","2","สภต./ศหญ.","11/4/2019","48004","660507317","12/4/2023","11/28/2026",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960851",
"30133475","เสื้อเกราะกันกระสุนภายนอก","2","สภน./ศชม.","11/4/2019","48004","660507303","12/4/2023","11/28/2026","18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960847","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9099092"
"30133476","เสื้อเกราะกันกระสุนภายนอก","2","สภน./ศชม.","11/4/2019","48004","660507303","12/4/2023","11/28/2026","18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960847","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9099092"
"30133477","เสื้อเกราะกันกระสุนภายนอก","2","สภน./ศชม.","11/4/2019","48004","660507303","12/4/2023","11/28/2026","18/12/65 โอนย้ายส่งมอบ สภน. เพื่อเก็บในคลัง เนื่องด้วย ศพล. ปรับเป็น CCC","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960847","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9099092"
"30133478","เสื้อเกราะป้องกันกระสุนฯ","2","สภอ./ศขก.","10/30/2019","48004","660507312","12/4/2023","11/28/2026","ขนย้ายจาก ศนร. มาเก็บที่ สภอ. วันที่ 2/11/66","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960849",
"30133481","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","650507305","1/4/2023","11/28/2023","1/12/65 ศอบ. ส่งมอบคลัง ทญศ. โดยคุณธนกฤต และ ผู้รับ คุณอนุชิต","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112927",
"30133482","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","650507305","1/4/2023","11/28/2023","1/12/65 ศอบ. ส่งมอบคลัง ทญศ. โดยคุณธนกฤต และ ผู้รับ คุณอนุชิต","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112927",
"30133483","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","650507305","1/4/2023","11/28/2023","1/12/65 ศอบ. ส่งมอบคลัง ทญศ. โดยคุณธนกฤต และ ผู้รับ คุณอนุชิต","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112927",
"30133484","เสื้อเกราะกันกระสุนภายนอก","2","สภต./ศหญ.","11/4/2019","48004","660507305","12/4/2023","11/28/2026","ขนย้ายจาก ศสร. มาเก็บที่ สภต. วันที่ 21 สิงหาคม 2566","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112926",
"30133485","เสื้อเกราะกันกระสุนภายนอก","2","สภต./ศหญ.","11/4/2019","48004","660507305","12/4/2023","11/28/2026","ขนย้ายจาก ศสร. มาเก็บที่ สภต. วันที่ 21 สิงหาคม 2566","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112926",
"30133486","เสื้อเกราะกันกระสุนภายนอก","2","สภต./ศหญ.","11/4/2019","48004","660507305","12/4/2023","11/28/2026","ขนย้ายจาก ศสร. มาเก็บที่ สภต. วันที่ 21 สิงหาคม 2566","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9112926",
"30133487","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","660507299","12/4/2023","11/28/2026","ศรย.--โอนให้ ทญศ. เก็บเข้าคลัง  28 มี.ค.2565--ส่งคืนจาก ศจธ.ระยอง","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492879",
"30133488","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","660507299","12/4/2023","11/28/2026","ศรย.--โอนให้ ทญศ. เก็บเข้าคลัง  28 มี.ค.2565--ส่งคืนจาก ศจธ.ระยอง","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492879",
"30133489","เสื้อเกราะกันกระสุนภายนอก","2","ทญศ.","11/4/2019","48004","660507299","12/4/2023","11/28/2026","ศรย.--โอนให้ ทญศ. เก็บเข้าคลัง  28 มี.ค.2565--ส่งคืนจาก ศจธ.ระยอง","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492879",
"30133479","เสื้อเกราะป้องกันกระสุนฯ","2","สภอ./ศขก.","10/30/2019","48004","660507312","12/4/2023","11/28/2026","ขนย้ายจาก ศนร. มาเก็บที่ สภอ. วันที่ 2/11/66","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960849",
"30133480","เสื้อเกราะป้องกันกระสุนฯ","2","สภอ./ศขก.","11/4/2019","48004","660507312","12/4/2023","11/28/2026","ขนย้ายจาก ศนร. มาเก็บที่ สภอ. วันที่ 2/11/66 และเสื้อเกราะฯ","https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9960849",
"30135598","เสื้อเกราะกันกระสุนภายนอก","3","ทญศ.","8/23/2021","48004","670503740","6/18/2024","6/23/2027",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492520",
"30135599","เสื้อเกราะกันกระสุนภายนอก","3","ทญศ.","8/23/2021","48004","670503740","6/18/2024","6/23/2027",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492520",
"30135600","เสื้อเกราะกันกระสุนภายนอก","3","ทญศ.","8/23/2021","48004","670503740","6/18/2024","6/23/2027",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=10492520",
"30135601","เสื้อเกราะกันกระสุนภายนอก","3","สภต./ศหญ.","8/23/2021","48004","670503739","6/18/2024","6/24/2027",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9594596",
"30135602","เสื้อเกราะกันกระสุนภายนอก","3","สภต./ศหญ.","8/23/2021","48004","670503739","6/18/2024","6/24/2027",,"https://botshare.bot.or.th/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9594596",
